game_id,season_year,model_prob_home,implied_home,decimal_home,decimal_away,home_win
42500207,2025-26,0.7640365889890964,0.609452736318408,1.57,2.45,0
42500236,2025-26,0.3634603211376308,0.375,2.55,1.53,0
42500206,2025-26,0.5486075121795604,0.609452736318408,1.57,2.45,0
42500205,2025-26,0.7152451945951208,0.5904522613065327,1.63,2.35,0
42500235,2025-26,0.7536964847435917,0.7543520309477756,1.27,3.9,1
42500204,2025-26,0.5294587324840859,0.5904522613065327,1.63,2.35,1
42500224,2025-26,0.4568634844406565,0.20168067226890757,4.75,1.2,0
42500214,2025-26,0.2775448704491874,0.4895287958115184,1.95,1.87,0
42500234,2025-26,0.47899976037594577,0.3759213759213759,2.54,1.53,1
42500223,2025-26,0.5395019933745754,0.2668024439918534,3.6,1.31,0
42500203,2025-26,0.5041376665463505,0.5934343434343434,1.61,2.35,1
42500213,2025-26,0.43798634576888973,0.45312500000000006,2.1,1.74,0
42500233,2025-26,0.495651069390735,0.40954773869346733,2.35,1.63,0
42500202,2025-26,0.7215133400100108,0.5904522613065327,1.63,2.35,1
42500222,2025-26,0.6834411503059374,0.88008800880088,1.09,8.0,1
42500232,2025-26,0.6396982712495075,0.7590132827324478,1.27,4.0,1
42500212,2025-26,0.8262008546996796,0.7096774193548387,1.35,3.3,1
42500221,2025-26,0.608351293361347,0.88008800880088,1.09,8.0,1
42500201,2025-26,0.6840654217910758,0.5739795918367347,1.67,2.25,1
42500211,2025-26,0.6835230654520994,0.7112068965517242,1.34,3.3,1
42500231,2025-26,0.6556748664936022,0.872093023255814,1.1,7.5,0
42500107,2025-26,0.5167610434111841,0.7440476190476191,1.29,3.75,1
42500137,2025-26,0.6094798871329563,0.7096774193548387,1.35,3.3,1
42500117,2025-26,0.6058729443557361,0.7188160676532769,1.33,3.4,0
42500176,2025-26,0.6629419793482181,0.6109725685785536,1.56,2.45,0
42500106,2025-26,0.7847184182870901,0.4065656565656566,2.35,1.61,0
42500136,2025-26,0.6505131503776138,0.39054726368159204,2.45,1.57,1
42500126,2025-26,0.4328588837610504,0.47780678851174935,2.0,1.83,0
42500116,2025-26,0.6022779432232093,0.34117647058823525,2.8,1.45,1
42500166,2025-26,0.6552308586454573,0.3181818181818182,3.0,1.4,1
42500105,2025-26,0.43688421776692227,0.7720588235294118,1.24,4.2,1
42500175,2025-26,0.637452814203917,0.5655526992287918,1.69,2.2,0
42500135,2025-26,0.6116936719145583,0.7917383820998279,1.21,4.6,1
42500125,2025-26,0.7164539961974277,0.7017543859649122,1.36,3.2,1
42500155,2025-26,0.7297702647462962,0.8090614886731392,1.18,5.0,1
42500115,2025-26,0.7225284925862961,0.8258258258258259,1.16,5.5,0
42500165,2025-26,0.5363019335049966,0.7983193277310925,1.2,4.75,1
42500144,2025-26,0.6012944091376794,0.20168067226890757,4.75,1.2,0
42500104,2025-26,0.8132692845798967,0.40954773869346733,2.35,1.63,1
42500114,2025-26,0.6755700262550192,0.2903225806451613,3.3,1.35,0
42500154,2025-26,0.6199563830026544,0.3704600484261501,2.6,1.53,0
42500174,2025-26,0.5713698175869732,0.6240786240786241,1.53,2.54,1
42500134,2025-26,0.6486966253864668,0.43444730077120824,2.2,1.69,1
42500124,2025-26,0.610149201085001,0.5569948186528497,1.71,2.15,0
42500164,2025-26,0.6877332190313368,0.5633074935400517,1.69,2.18,1
42500143,2025-26,0.6553920618508549,0.21190893169877406,4.5,1.21,0
42500103,2025-26,0.7855851583627252,0.42602040816326525,2.25,1.67,1
42500153,2025-26,0.666446416646067,0.4230769230769231,2.25,1.65,0
42500113,2025-26,0.6961325832504259,0.2903225806451613,3.3,1.35,0
42500173,2025-26,0.556714758928339,0.7741347905282332,1.24,4.25,0
42500133,2025-26,0.5691205322281744,0.576923076923077,1.65,2.25,1
42500163,2025-26,0.6435303058457761,0.5104712041884817,1.87,1.95,1
42500123,2025-26,0.6044943068593545,0.5104712041884817,1.87,1.95,1
42500102,2025-26,0.3958665749853303,0.7663551401869159,1.25,4.1,1
42500142,2025-26,0.5962526210163416,0.9170653907496014,1.04,11.5,1
42500112,2025-26,0.6265071244816107,0.8631319358816276,1.11,7.0,0
42500172,2025-26,0.6520571630031854,0.6015037593984962,1.59,2.4,1
42500152,2025-26,0.6112346809910123,0.15966386554621848,6.0,1.14,0
42500132,2025-26,0.6777576228216685,0.7590132827324478,1.27,4.0,1
42500162,2025-26,0.6554735975628364,0.6735159817351598,1.43,2.95,0
42500122,2025-26,0.6686881836383346,0.6735159817351598,1.43,2.95,0
42500141,2025-26,0.3884975307764924,0.8519003931847969,1.13,6.5,1
42500111,2025-26,0.44168990330781405,0.8090614886731392,1.18,5.0,1
42500151,2025-26,0.5537694716347094,0.7983193277310925,1.2,4.75,1
42500101,2025-26,0.4065720617530945,0.7543520309477756,1.27,3.9,0
42500131,2025-26,0.5805306559743041,0.7081545064377682,1.36,3.3,1
42500161,2025-26,0.6466391929267161,0.6643356643356644,1.44,2.85,1
42500121,2025-26,0.6473474476883347,0.6470588235294118,1.5,2.75,1
42500171,2025-26,0.6435950632100139,0.35294117647058826,2.75,1.5,1
52500201,2025-26,0.5433472021333757,0.4177215189873418,2.3,1.65,1
52500211,2025-26,0.5521759708546636,0.5324675324675325,1.8,2.05,1
52500101,2025-26,0.581103793435234,0.5221932114882506,1.83,2.0,1
52500131,2025-26,0.6076544149692306,0.609452736318408,1.57,2.45,0
52500121,2025-26,0.48259879538323125,0.6109725685785536,1.56,2.45,0
52500111,2025-26,0.6307089713836161,0.6588235294117647,1.45,2.8,1
22501192,2025-26,0.5746431237287337,0.9291121816930488,1.03,13.5,1
22501196,2025-26,0.5997148283420589,0.6643356643356644,1.44,2.85,0
22501194,2025-26,0.4887537022970706,0.8519003931847969,1.13,6.5,1
22501189,2025-26,0.6515507757865335,0.3181818181818182,3.0,1.4,1
22501198,2025-26,0.5739507128035081,0.9090909090909092,1.05,10.5,1
22501193,2025-26,0.6394358190350937,0.7112068965517242,1.34,3.3,1
22501191,2025-26,0.6775486672298252,0.88008800880088,1.09,8.0,1
22501190,2025-26,0.46372625966309255,0.28118393234672306,3.4,1.33,0
22501187,2025-26,0.5128149509540417,0.9041591320072333,1.06,10.0,1
22501188,2025-26,0.5866838720848637,0.14809960681520315,6.5,1.13,0
22501200,2025-26,0.5614425885438424,0.8881922675026124,1.07,8.5,1
22501197,2025-26,0.5909431794228138,0.4675324675324676,2.05,1.8,0
22501195,2025-26,0.5067710239942403,0.7983193277310925,1.2,4.75,1
22501199,2025-26,0.5851937220898411,0.7440476190476191,1.29,3.75,1
22501186,2025-26,0.4594617632450599,0.4065656565656566,2.35,1.61,1
22501160,2025-26,0.6351190901944465,0.9128630705394192,1.05,11.0,1
22501163,2025-26,0.5713652956861588,0.3181818181818182,3.0,1.4,0
22501162,2025-26,0.5964011263193771,0.9519276534983341,1.01,20.0,1
22501159,2025-26,0.6919436723431416,0.6643356643356644,1.44,2.85,1
22501161,2025-26,0.5619457539913982,0.576923076923077,1.65,2.25,1
22501158,2025-26,0.5151562587531998,0.546875,1.74,2.1,1
22501164,2025-26,0.5543310791626372,0.7983193277310925,1.2,4.75,1
22501155,2025-26,0.553744003145628,0.11575562700964631,8.25,1.08,0
22501148,2025-26,0.5752120881127657,0.34117647058823525,2.8,1.45,0
22501151,2025-26,0.5654609486758105,0.47780678851174935,2.0,1.83,1
22501152,2025-26,0.5096430727199751,0.16666666666666666,5.75,1.15,0
22501153,2025-26,0.5495803982789812,0.8177570093457944,1.17,5.25,1
22501157,2025-26,0.6254353835274948,0.47780678851174935,2.0,1.83,0
22501156,2025-26,0.5763015106137559,0.8090614886731392,1.18,5.0,1
22501149,2025-26,0.6283921470207873,0.6735159817351598,1.43,2.95,1
22501150,2025-26,0.662493682346334,0.4430051813471503,2.15,1.71,1
22501154,2025-26,0.5168168848656646,0.88008800880088,1.09,8.0,1
22501145,2025-26,0.6602045246886098,0.11991199119911991,8.0,1.09,0
22501144,2025-26,0.5862021045142429,0.40954773869346733,2.35,1.63,1
22501146,2025-26,0.5807736839673431,0.7440476190476191,1.29,3.75,1
22501147,2025-26,0.5718724451629128,0.7440476190476191,1.29,3.75,1
22501143,2025-26,0.5809834080905606,0.5169712793733681,1.85,1.98,0
22501139,2025-26,0.5915261216935762,0.9382566585956417,1.02,15.5,1
22501141,2025-26,0.6170661204984712,0.1741741741741742,5.5,1.16,0
22501135,2025-26,0.6016513100656261,0.6643356643356644,1.44,2.85,1
22501137,2025-26,0.6227578833681372,0.5169712793733681,1.85,1.98,0
22501132,2025-26,0.6162582760937143,0.7720588235294118,1.24,4.2,1
22501134,2025-26,0.5162013440704648,0.20168067226890757,4.75,1.2,0
22501136,2025-26,0.615044112383717,0.9170653907496014,1.04,11.5,1
